iter	Passed	Remaining
0	188346	5462060
1	375489	5256857
2	571760	5145844
3	777976	5056850
4	978624	4893121
5	1160664	4642657
6	1330534	4371756
7	1501767	4129861
8	1671116	3899272
9	1841664	3683329
10	2149806	3713302
